Mazowieckie;Białobrzeski;Wyśmierzyce;37267;Witaszyn;Witaszyn/przystanek PKS
Mazowieckie;Białobrzeski;Wyśmierzyce;7889;Wyśmierzyce;przy Cmentarzu
Mazowieckie;Białobrzeski;Wyśmierzyce;37271;Wyśmierzyce;1000 Lecia Państwa Polskiego/ Ośrodek Zdrowia
Mazowieckie;Białobrzeski;Wyśmierzyce;38173;Wyśmierzyce;Kościelna /OSP
Mazowieckie;Białobrzeski;Wyśmierzyce;44561;Wyśmierzyce;przy Cmentarzu
Mazowieckie;Białobrzeski;Wyśmierzyce;44576;Wyśmierzyce;Mickiewicza 4a
Mazowieckie;Białobrzeski;Wyśmierzyce;59511;Wyśmierzyce;przy Cmentarzu
Mazowieckie;Ciechanowski;Ciechanów;48588;Chotum;Chotum:przy Szkole Podstawowej
Mazowieckie;Ciechanowski;Ciechanów;71464;Chotum;Chotum:przy Szkole Podstawowej
Mazowieckie;Ciechanowski;Ciechanów;71462;Chruszczewo;Chruszczewo:przy świetlicy wiejskiej
Mazowieckie;Ciechanowski;Ciechanów;696;Ciechanów;Ranieckiej 4
Mazowieckie;Ciechanowski;Ciechanów;2835;Ciechanów;Kwiatowa/Towarowa
Mazowieckie;Ciechanowski;Ciechanów;4965;Ciechanów;Andersa 52
Mazowieckie;Ciechanowski;Ciechanów;8257;Ciechanów;Ściegiennego/Kościół
Mazowieckie;Ciechanowski;Ciechanów;18620;Ciechanów;Witosa 76
Mazowieckie;Ciechanowski;Ciechanów;22686;Ciechanów;Sienkiewicza 52
Mazowieckie;Ciechanowski;Ciechanów;23555;Ciechanów;Witosa 76
Mazowieckie;Ciechanowski;Ciechanów;25231;Ciechanów;Harcerska/garaże
Mazowieckie;Ciechanowski;Ciechanów;28339;Ciechanów;11 stycznia 54
Mazowieckie;Ciechanowski;Ciechanów;30007;Ciechanów;Kwiatowa/Towarowa
Mazowieckie;Ciechanowski;Ciechanów;30570;Ciechanów;Kargoszyńska 34
Mazowieckie;Ciechanowski;Ciechanów;40446;Ciechanów;Armii Krajowej: Cerrefour
Mazowieckie;Ciechanowski;Ciechanów;40466;Ciechanów;Armii Krajowej 33
Mazowieckie;Ciechanowski;Ciechanów;40467;Ciechanów;Niemcewicza 10
Mazowieckie;Ciechanowski;Ciechanów;49039;Ciechanów;Krupińska
Mazowieckie;Ciechanowski;Ciechanów;54848;Ciechanów;Prymasa Tysiąclecia/cmentarz - parking
Mazowieckie;Ciechanowski;Ciechanów;55497;Ciechanów;Ranieckiej 4
Mazowieckie;Ciechanowski;Ciechanów;58920;Ciechanów;Armii Krajowej 23
Mazowieckie;Ciechanowski;Ciechanów;63267;Ciechanów;Prymasa Tysiąclecia/cmentarz - parking
Mazowieckie;Ciechanowski;Ciechanów;65237;Ciechanów;Reutta 10
Mazowieckie;Ciechanowski;Ciechanów;68579;Ciechanów;Reutta 10
Mazowieckie;Ciechanowski;Ciechanów;70109;Ciechanów;Armii Krajowej 33
Mazowieckie;Ciechanowski;Ciechanów;71461;Ciechanów;Andersa 52
Mazowieckie;Ciechanowski;Ciechanów;76797;Ciechanów;Mościckiego/Andersa
Mazowieckie;Ciechanowski;Ciechanów;84144;Ciechanów;Bogusławskiego 44
Mazowieckie;Ciechanowski;Ciechanów;84145;Ciechanów;Bogusławskiego 44
Mazowieckie;Ciechanowski;Ciechanów;84897;Ciechanów;Krubińska 56
Mazowieckie;Ciechanowski;Ciechanów;84898;Ciechanów;Bogusławskiego 44
Mazowieckie;Ciechanowski;Ciechanów;84899;Ciechanów;Prymasa Tysiąclecia/cmentarz - parking
Mazowieckie;Ciechanowski;Ciechanów;84902;Ciechanów;Bojanowskiego8/garaże
Mazowieckie;Ciechanowski;Ciechanów;84904;Ciechanów;Osada Fabryczna 5/ gniazdo śmietnikowe
Mazowieckie;Ciechanowski;Ciechanów;86738;Ciechanów;Prymasa Tysiąclecia/cmentarz - parking
Mazowieckie;Ciechanowski;Ciechanów;88382;Ciechanów;Ściegiennego/Kościół
Mazowieckie;Ciechanowski;Ciechanów;88384;Ciechanów;Armii Krajowej: Cerrefour
Mazowieckie;Ciechanowski;Ciechanów;93861;Ciechanów;Ludowa 31
Mazowieckie;Ciechanowski;Ciechanów;94048;Ciechanów;Ludowa 31
Mazowieckie;Ciechanowski;Ciechanów;71465;Gąski;Gąski: przy remizie OSP
Mazowieckie;Ciechanowski;Ciechanów;71468;Gumowo;Gumowo:przy Szkole Podstawowej
Mazowieckie;Ciechanowski;Ciechanów;71466;Kownaty Żędowe;Kownaty Żędowe:przy świetlicy wiejskiej
Mazowieckie;Ciechanowski;Ciechanów;86741;Niechodzin;Niechodzin 7
Mazowieckie;Ciechanowski;Ciechanów;88381;Nóżewo;Nóżewo 18a
Mazowieckie;Ciechanowski;Ciechanów;76794;Nużewo;Nużewo 9
Mazowieckie;Ciechanowski;Ciechanów;86742;Nużewo;Nużewo 9
Mazowieckie;Ciechanowski;Ciechanów;88386;Sokołówek;pętla PKS
Mazowieckie;Ciechanowski;Glinojeck;730;Glinojeck;Fabryczna/Polna
Mazowieckie;Ciechanowski;Glinojeck;7814;Glinojeck;Kondraniec Pański 29b
Mazowieckie;Ciechanowski;Glinojeck;15999;Glinojeck;Południowa 19a
Mazowieckie;Ciechanowski;Glinojeck;51686;Glinojeck;Ciechanowska 43
Mazowieckie;Ciechanowski;Glinojeck;58326;Glinojeck;Polna 27
Mazowieckie;Ciechanowski;Glinojeck;61504;Glinojeck;Płocka /przy Bibliotece
Mazowieckie;Ciechanowski;Glinojeck;84894;Glinojeck;Południowa 21a
Mazowieckie;Ciechanowski;Glinojeck;84901;Glinojeck;Południowa 20b/stacja trafo
Mazowieckie;Ciechanowski;Glinojeck;84903;Glinojeck;Spokojna/Południowa 20D
